Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.10,3.50,1.40,0.20,Iris-setosa
2,4.90,3.00,1.40,0.20,Iris-setosa
3,4.70,3.20,1.30,0.20,Iris-setosa
4,4.60,3.10,1.50,0.20,Iris-setosa
5,5.00,3.60,1.40,0.20,Iris-setosa
6,5.40,3.90,1.70,0.40,Iris-setosa
7,4.60,3.40,1.40,0.30,Iris-setosa
8,5.00,3.40,1.50,0.20,Iris-setosa
9,4.40,2.90,1.40,0.20,Iris-setosa
10,4.90,3.10,1.50,0.10,Iris-setosa
11,5.40,3.70,1.50,0.20,Iris-setosa
12,4.80,3.40,1.60,0.20,Iris-setosa
13,4.80,3.00,1.40,0.10,Iris-setosa
14,4.30,3.00,1.10,0.10,Iris-setosa
15,5.80,4.00,1.20,0.20,Iris-setosa
16,5.70,4.40,1.50,0.40,Iris-setosa
17,5.40,3.90,1.30,0.40,Iris-setosa
18,5.10,3.50,1.40,0.30,Iris-setosa
19,5.70,3.80,1.70,0.30,Iris-setosa
20,5.10,3.80,1.50,0.30,Iris-setosa
21,5.40,3.40,1.70,0.20,Iris-setosa
22,5.10,3.70,1.50,0.40,Iris-setosa
23,4.60,3.60,1.00,0.20,Iris-setosa
24,5.10,3.30,1.70,0.50,Iris-setosa
25,4.80,3.40,1.90,0.20,Iris-setosa
26,5.00,3.00,1.60,0.20,Iris-setosa
27,5.00,3.40,1.60,0.40,Iris-setosa
28,5.20,3.50,1.50,0.20,Iris-setosa
29,5.20,3.40,1.40,0.20,Iris-setosa
30,4.70,3.20,1.60,0.20,Iris-setosa
31,4.80,3.10,1.60,0.20,Iris-setosa
32,5.40,3.40,1.50,0.40,Iris-setosa
33,5.20,4.10,1.50,0.10,Iris-setosa
34,5.50,4.20,1.40,0.20,Iris-setosa
35,4.90,3.10,1.50,0.10,Iris-setosa
36,5.00,3.20,1.20,0.20,Iris-setosa
37,5.50,3.50,1.30,0.20,Iris-setosa
38,4.90,3.10,1.50,0.10,Iris-setosa
39,4.40,3.00,1.30,0.20,Iris-setosa
40,5.10,3.40,1.50,0.20,Iris-setosa
41,5.00,3.50,1.30,0.30,Iris-setosa
42,4.50,2.30,1.30,0.30,Iris-setosa
43,4.40,3.20,1.30,0.20,Iris-setosa
44,5.00,3.50,1.60,0.60,Iris-setosa
45,5.10,3.80,1.90,0.40,Iris-setosa
46,4.80,3.00,1.40,0.30,Iris-setosa
47,5.10,3.80,1.60,0.20,Iris-setosa
48,4.60,3.20,1.40,0.20,Iris-setosa
49,5.30,3.70,1.50,0.20,Iris-setosa
50,5.00,3.30,1.40,0.20,Iris-setosa
51,7.00,3.20,4.70,1.40,Iris-versicolor
52,6.40,3.20,4.50,1.50,Iris-versicolor
53,6.90,3.10,4.90,1.50,Iris-versicolor
54,5.50,2.30,4.00,1.30,Iris-versicolor
55,6.50,2.80,4.60,1.50,Iris-versicolor
56,5.70,2.80,4.50,1.30,Iris-versicolor
57,6.30,3.30,4.70,1.60,Iris-versicolor
58,4.90,2.40,3.30,1.00,Iris-versicolor
59,6.60,2.90,4.60,1.30,Iris-versicolor
60,5.20,2.70,3.90,1.40,Iris-versicolor
